

[2022-08-08 10:24:56] CSystemPerfManager::UpdateCurrentGame: setting current gameid: 769
[2022-08-08 10:24:56] CSystemPerfManager::MaybeUpdateActiveGame: loading profile for gameid: 769
[2022-08-08 10:24:56] Initialized system perf manager
[2022-08-08 10:42:49] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:43:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:44:07] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:44:13] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:45:08] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:46:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:46:53] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:47:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:47:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:00:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:00:51] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:00:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:21] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:27] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:28] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:37] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:01:57] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:02:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:03:18] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:03:23] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:03:23] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:03:53] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:04:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:04:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:05:31] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:06:00] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:20:18] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:20:19] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:20:35] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:22:02] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:22:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:30:00] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:30:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:30:14] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:35:04] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:35:08] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:35:16] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:38:30] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:43:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:46:13] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:51:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:51:57] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:52:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 11:54:25] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:01:30] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:02:17] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:03:20] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:03:23] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:09:12] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:20:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:21:53] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:21:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:21:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 12:22:01] CSystemPerfManager::UpdateCurrentGame: setting current gameid: 358270
[2022-08-08 16:35:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:35:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:35:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:35:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:35:57] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:35:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:09] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:46] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:57] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:36:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:37:00] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:37:02] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:49] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:46:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:17] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:18] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:47:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:54:42] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:54:47] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:54:49] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:55:04] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:55:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:56:20] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:56:21] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:56:34] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:56:36] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:59:53] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 16:59:55] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:11:34] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:11:41] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:11:42] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:11:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:11:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:11:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:12:00] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:14:39] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:14:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:14:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:14:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:21:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:21:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:00] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:20] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:21] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:32] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:35] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:44] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 17:22:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:35] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:37] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:39] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:39] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:39] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:03:45] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:10:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:10:42] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:24:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:24:23] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:25:33] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:25:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:26:22] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:48:46] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:48:47] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:48:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:48:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:48:51] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:48:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:49:02] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:49:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:49:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:49:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 18:49:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 19:24:41] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 19:43:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:17:46] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:17:47] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:20:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:21:02] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:21:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:21:04] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:21:35] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:58:07] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:58:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:58:18] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:58:46] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:58:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:58:54] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 20:59:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 21:56:03] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 23:15:08] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:09:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:10:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:10:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:10:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:36] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:37] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:41] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:42] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:14:45] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:23:17] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:23:19] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:23:44] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:23:44] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:23:49] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:10] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:13] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:13] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:14] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:17] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:24:34] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:25:37] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:25:41] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:27:58] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:02] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:04] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:21] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:22] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:25] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:30] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:30] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:31] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:34] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:47] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:28:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:29:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:29:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:29:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:29:13] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:29:24] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:31:07] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:31:18] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:31:19] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:31:27] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:31:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:32:10] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:32:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:33:32] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:33:33] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:33:35] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:33:35] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:34:24] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:34:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:12] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:14] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:18] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:27] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:28] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:41] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:51] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:35:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:36:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:36:52] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:36:53] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:36:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:37:09] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:37:25] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:37:39] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:37:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:37:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:38:24] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:38:41] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:40:08] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:40:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:40:22] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:40:24] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:40:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:40] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:42] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:41:57] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:42:00] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:50:33] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:50:34] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:08] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:14] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:14] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:14] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:17] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:51:38] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-09 09:53:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
